usscidn,sentyr
1274435,2009
1274437,2009
1274438,2009
1274439,2009
1274441,2009
1274442,2009
1274443,2009
1274445,2009
1274446,2009
1274448,2009
1274449,2009
1274450,2009
1274451,2009
1274452,2009
1274453,2009
1274454,2009
1274455,2009
1274456,2009
1274457,2009
1274459,2009
1274462,2009
1274464,2009
1274465,2009
1274466,2009
1274660,2009
1274761,2009
1274762,2009
1274763,2009
1274764,2009
1274765,2009
1274766,2009
1274767,2009
1274768,2009
1274770,2009
1274774,2009
1274775,2009
1274776,2009
1274777,2009
1274778,2009
1274779,2009
1274780,2009
1274781,2009
1274782,2009
1274783,2009
1274785,2009
1274786,2009
1274787,2009
1274788,2009
1274789,2009
1274790,2009
1274792,2009
1274793,2009
1274795,2009
1274798,2009
1274799,2009
1274800,2009
1274802,2009
1274803,2009
1274804,2009
1274806,2009
1274807,2009
1274808,2009
1274810,2009
1274813,2009
1274814,2009
1274815,2009
1274823,2009
1274824,2009
1274825,2009
1274826,2009
1274827,2009
1274828,2009
1274829,2009
1274830,2009
1274832,2009
1274833,2009
1274835,2009
1275031,2009
1275054,2009
1275057,2009
1275060,2009
1275061,2009
1275063,2009
1275064,2009
1275065,2009
1275066,2009
1275067,2009
1275068,2009
1275069,2009
1275070,2009
1275071,2009
1275072,2009
1275073,2009
1275074,2009
1275075,2009
1275076,2009
1275077,2009
1275078,2009
1275079,2009
1275080,2009
1275081,2009
1275082,2009
1275083,2009
1275085,2009
1275086,2009
1275088,2009
1275089,2009
1275090,2009
1275091,2009
1275092,2009
1275093,2009
1275094,2009
1275095,2009
1275096,2009
1275097,2009
1275098,2009
1275099,2009
1275100,2009
1275101,2009
1275102,2009
1275103,2009
1275104,2009
1275105,2009
1275106,2009
1275107,2009
1275108,2009
1275109,2009
1275110,2009
1275111,2009
1275112,2009
1275113,2009
1275114,2009
1275115,2009
1275117,2009
1275118,2009
1275119,2009
1275120,2009
1275122,2009
1275123,2009
1275124,2009
1275125,2009
1275126,2009
1275128,2009
1275129,2009
1275130,2009
1275131,2009
1275132,2009
1275133,2009
1275134,2009
1275136,2009
1275138,2009
1275141,2009
1275142,2009
1275143,2009
1275145,2009
1275321,2009
1275322,2009
1275323,2009
1275324,2009
1275328,2009
1275331,2009
1275332,2009
1275333,2009
1275334,2009
1275335,2009
1275336,2009
1275337,2009
1275338,2009
1275339,2009
1275340,2009
1275341,2009
1275342,2009
1275343,2009
1275344,2009
1275345,2009
1275346,2009
1275347,2009
1275348,2009
1275349,2009
1275350,2009
1275351,2009
1275352,2009
1275353,2009
1275354,2009
1275355,2009
1275356,2009
1275357,2009
1275358,2009
1275359,2009
1275360,2009
1275362,2009
1275363,2009
1275364,2009
1275365,2009
1275366,2009
1275367,2009
1275368,2009
1275369,2009
1275370,2009
1275371,2009
1275372,2009
1275373,2009
1275374,2009
1275375,2009
1275376,2009
1275377,2009
1275378,2009
1275379,2009
1275380,2009
1275381,2009
1275382,2009
1275383,2009
1275384,2009
1275386,2009
1275387,2009
1275388,2009
1275389,2009
