USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2130712,16,0,,,15,15
2131487,10,0,,,84,84
2131628,10,0,,,7,7
2131630,27,0,,,120,120
2131631,24,0,,,30,30
2131632,10,0,,,27,27
2131634,13,0,,,84,84
2131637,10,8,6,50,6,6
2131639,10,0,,,78,78
2131640,10,6,30,100,60,60
2131642,13,0,,,60,60
2131643,10,0,,,27,27
2131645,9,0,,,18,18
2131646,17,0,,,6,6
2131652,13,6,12,11.111111111,120,120
2131653,30,0,,,,0
2131655,13,0,,,51,51
2131657,29,2,6,100,,0
2131658,13,0,,,210,210
2131660,10,8,35,25.925925926,100,100
2131661,13,0,,,60,60
2131664,13,0,,,18,18
2131667,10,0,,,90,90
2131668,7,4,36,46.153846154,42,42
2131669,16,8,1.97,24.625,0.03,6.03
2131670,17,0,,,1.23,1.23
2131673,16,0,,,18,18
2131674,26,6,177,280.95238095,240,240
2131676,17,0,,,1.56,1.56
2131677,16,0,,,12.03,12.03
2131680,17,0,,,1.53,1.53
2131683,30,0,,,,0
2131686,10,0,,,240,240
2131687,1,8,27,100,,0
2131697,10,0,,,41,41
2131698,30,5,24,64.864864865,,13
2131701,10,8,23,19.008264463,98,98
2131702,16,0,,,30,30
2131703,10,0,,,38,38
2131704,17,8,53,68.831168831,24,24
2131707,17,8,5,50,5,5
2131708,16,8,15,50,15,15
2131710,13,0,,,60,60
2131711,10,8,0.97,5.3888888889,12.03,17.03
2131712,10,2,119.96714849,99.972623741,0.0328515112,0.0328515112
2131713,13,8,5,27.777777778,13,13
2131714,17,3,6,18.181818182,27,27
2131715,13,2,36,60,24,24
2131718,10,2,13,35.135135135,24,24
2131738,17,0,,,3.59,3.59
2131744,13,0,,,18,18
2131745,13,7,24,20,96,96
2131747,16,0,,,15,15
2131749,16,5,,,0.03,12.03
2131752,10,8,50.967148489,99.935585272,0.0328515112,0.0328515112
2131753,10,8,11,7.2847682119,140,140
2131754,17,0,,,4.03,4.03
